rule,repository,commit,file,cell,line,source,label,rationale,reviewer,reviewed_on
QXL000,1Neeshu/Quantum-Optimization-for-Distributed-Order-Management,c9271b67dedd2e42c771969f64df4204d06d1e3b,run.py,,1,!pip -q install pulp qiskit qiskit-aer qiskit-ibm-runtime,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,1hubert/ql-hackathon-challenge1-splatanicznie,154f85e59d16085b1ab4a778baac125a5cbe389b,qiskit_basics.ipynb,10,54,sampler = QAOA.,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,24am5a0410-DaViD/WISER-QAPINN,4bf2a25da6846c2c548c016723b64cf6af4c7c68,WISER_PINN.ipynb,12,155,"print(f""\nFigure saved: {save_path}"")''''",true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,2rajgupta/quantum-computing-with-qiskit,705483c915469e1d35593ed496c7cad4142b27c7,ibm-qiskit/Day1/Constants.ipynb,6,2,"print(f""Max Login Attempts:",true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,2rajgupta/quantum-computing-with-qiskit,705483c915469e1d35593ed496c7cad4142b27c7,ibm-qiskit/Day1/Python_Suite.ipynb,2,4,"print(""This is part of the suite"")else:",true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,2rajgupta/quantum-computing-with-qiskit,705483c915469e1d35593ed496c7cad4142b27c7,ibm-qiskit/Day1/Variables.ipynb,1,4,"name = ""Alice“",true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,2rajgupta/quantum-computing-with-qiskit,705483c915469e1d35593ed496c7cad4142b27c7,ibm-qiskit/Day1/Variables.ipynb,2,4,x = y = z = “apple”,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,2rajgupta/quantum-computing-with-qiskit,705483c915469e1d35593ed496c7cad4142b27c7,ibm-qiskit/Day4/Import.ipynb,1,1,pip install numpy pandas,false-positive,"IPython automagic is on by default and rewrites this cell: shell.transform_cell(source) returns get_ipython().run_line_magic('pip', ...), which compiles and runs. Verified on IPython 9.16.1, where the bare cell executes with success=True. The earlier label read the cell as accepted by neither CPython nor IPython; only the first half of that is true. The same text in a .py file has no IPython to rewrite it and is still reported.","claude-opus-5, pending confirmation by the maintainer",2026-08-19
QXL000,2rajgupta/quantum-computing-with-qiskit,705483c915469e1d35593ed496c7cad4142b27c7,openqasm/run_qasm.py,,22,"print(f""Results: {result.get_counts^(^)}"")",true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
QXL000,AADH2002/Quantum-Computing-with-Qiskit,0c7e60c086146f3e222af4697dc5e6ab782c1ba2,notebooks/03_Quantum-Arithmetic-Circuits-with-Qiskit.ipynb,1,6,Implement a reversible 4-bit quantum ripple-carry adder using Qiskit.,true-positive-unparsable,"Source neither CPython nor IPython accepts. Every .py finding was handed to CPython compile(), which rejected it; every notebook cell was checked to be sure the reported line is not an IPython magic or shell escape.","claude-opus-5, pending confirmation by the maintainer",2026-08-09
